time,method,mass,conservation_error,l2_vs_cn,linf_vs_cn,min_c,max_c,tv,tv_ratio,overshoot_rel,negative_depth_rel,extrema_count
0.0,CN,0.250662679995813,0.0,0.0,0.0,0.0,0.9999874750408879,1.9999749500817758,1.0,0.0,0.0,1
0.005,CN,0.25066258804426456,3.668338199868356e-07,0.0,0.0,-2.1335532997197738e-06,0.9950372529228649,1.9900828143780567,0.9950538701980669,0.0,2.133580022722321e-06,3
0.01,CN,0.2506625492728101,5.215096354553307e-07,0.0,0.0,0.0,0.9901355567619128,1.9802732265221712,0.9901490148370113,0.0,0.0,5
0.015,CN,0.2506624804920505,7.959053278834483e-07,0.0,0.0,-1.5690446353825598e-06,0.9853294656039066,1.9706648373152413,0.9853447600604517,0.0,1.5690642878486094e-06,3
0.02,CN,0.25066242951922746,9.992575900505827e-07,0.0,0.0,0.0,0.9805692069331204,1.9611403356744814,0.9805824495923279,0.0,0.0,5
0.025,CN,0.2506623565294128,1.290444992331566e-06,0.0,0.0,-1.176800756529643e-06,0.9759003833579917,1.9518049106678261,0.9759146786253597,0.0,1.1768154960956141e-06,3
0.03,CN,0.25066229193132644,1.5481542228445412e-06,0.0,0.0,0.0,0.9712748901704921,1.9425511565703322,0.971287743624441,0.0,0.0,5
0.035,CN,0.25066220845515874,1.8811761457802978e-06,0.0,0.0,-8.624122301993326e-07,0.9667369198767676,1.9334764732130654,0.9667503451150768,0.0,8.624230320125458e-07,3
0.04,CN,0.25066212809873034,2.2017521022870666e-06,0.0,0.0,0.0,0.9622399526525313,1.9244807078167556,0.9622524060804195,0.0,0.0,3
0.045,CN,0.25066203010261673,2.5927002626368897e-06,0.0,0.0,-5.90782470868965e-07,0.9578268333229727,1.9156548891419174,0.957839441470799,0.0,5.907898704879367e-07,3
0.05,CN,0.25066193137266446,2.9865760173797842e-06,0.0,0.0,0.0,0.9534525496368359,1.906905644055445,0.9534647641349081,0.0,0.0,3
0.055,CN,0.25066181520628694,3.450013085551497e-06,0.0,0.0,-3.444422137609369e-07,0.9491586575245944,1.8983180039336163,0.9491708902933994,0.0,3.444465279396156e-07,2
0.06,CN,0.2506616950471211,3.929379083878509e-06,0.0,0.0,0.0,0.9449015801313523,1.8898034101229162,0.9449135400649119,0.0,0.0,3
0.065,CN,0.25066155696728437,4.48023825738413e-06,0.0,0.0,-1.132061417741881e-07,0.9407216399003094,1.8814435062129025,0.9407335357555219,0.0,1.1320755969424445e-07,2
0.07,CN,0.2506614118803352,5.059051781517259e-06,0.0,0.0,0.0,0.9365766279002503,1.8731532558005006,0.936588358631147,0.0,0.0,1
0.075,CN,0.25066124786524613,5.713377702984976e-06,0.0,0.0,0.0,0.9325056853514299,1.8650113707028597,0.932517365093299,0.0,0.0,1
0.08,CN,0.2506610738920241,6.407430850639868e-06,0.0,0.0,0.0,0.9284679080908737,1.8569358161817473,0.9284795372591143,0.0,0.0,1
0.085,CN,0.2506608795448598,7.182764315733093e-06,0.0,0.0,0.0,0.9245013054540729,1.8490026109081459,0.9245128849401554,0.0,0.0,1
0.09,CN,0.2506606722442402,8.009774621447792e-06,0.0,0.0,0.0,0.9205662188595372,1.8411324377190743,0.9205777490582036,0.0,0.0,1
0.095,CN,0.2506604427313097,8.925399278847718e-06,0.0,0.0,0.0,0.9166995723697733,1.8333991447395466,0.9167110541382439,0.0,0.0,1
0.1,CN,0.2506601971546806,9.90510885965669e-06,0.0,0.0,0.0,0.9128628974519776,1.825725794903955,0.9128743311656498,0.0,0.0,1
0.105,CN,0.2506599271595341,1.0982234287610028e-05,0.0,0.0,0.0,0.9090920769651206,1.8181841539302412,0.909103463448829,0.0,0.0,1
0.11,CN,0.2506596378254915,1.2136510794261863e-05,0.0,0.0,0.0,0.9053497802615619,1.8106995605231238,0.90536111987257,0.0,0.0,1
0.115,CN,0.2506593215116292,1.3398421272241701e-05,0.0,0.0,0.0,0.9016708906935619,1.8033417813871238,0.9016821842260514,0.0,0.0,1
0.12,CN,0.25065898238115975,1.475135689646215e-05,0.0,0.0,0.0,0.8980191664463504,1.7960383328927008,0.8980304142405702,0.0,0.0,1
0.125,CN,0.250658613360153,1.6223538582056994e-05,0.0,0.0,0.0,0.8944285308462882,1.7888570616925763,0.8944397336673806,0.0,0.0,1
0.13,CN,0.2506582178129002,1.7801544740738528e-05,0.0,0.0,0.0,0.890863784736155,1.78172756947231,0.890874942908389,0.0,0.0,1
0.135,CN,0.2506577891164661,1.9511797077211234e-05,0.0,0.0,0.0,0.8873579288258058,1.7747158576516116,0.8873690430867878,0.0,0.0,1
0.14,CN,0.2506573299285025,2.134369308823693e-05,0.0,0.0,0.0,0.8838767631041882,1.7677535262083763,0.8838878337631657,0.0,0.0,1
0.145,CN,0.25065683398384714,2.3322227169782214e-05,0.0,0.0,0.0,0.8804524011362576,1.7609048022725151,0.8804634289047043,0.0,0.0,1
0.15,CN,0.2506563033072665,2.543932166758424e-05,0.0,0.0,0.0,0.8770516010156235,1.754103202031247,0.8770625861886543,0.0,0.0,1
0.155,CN,0.25065573191538615,2.7718846806211982e-05,0.0,0.0,0.0,0.8737056228197356,1.7474112456394713,0.8737165660840014,0.0,0.0,1
0.16,CN,0.250655121259963,3.0155010910028233e-05,0.0,0.0,0.0,0.8703821439981991,1.7407642879963983,0.8703930456355071,0.0,0.0,1
0.165,CN,0.25065446557677273,3.277080992029025e-05,0.0,0.0,0.0,0.8671116030985137,1.7342232061970273,0.8671224637719176,0.0,0.0,1
0.17,CN,0.2506537657938823,3.556254138356092e-05,0.0,0.0,0.0,0.8638625603086765,1.727725120617353,0.8638733802874425,0.0,0.0,1
0.17500000000000002,CN,0.2506530163141292,3.8552534760958496e-05,0.0,0.0,0.0,0.8606646630098813,1.7213293260197626,0.8606754429346128,0.0,0.0,1
0.18,CN,0.25065221758308287,4.173901248598907e-05,0.0,0.0,0.0,0.8574873194939642,1.7149746389879283,0.8574980596220997,0.0,0.0,1
0.185,CN,0.25065136412704214,4.514381148016849e-05,0.0,0.0,0.0,0.8543594148437563,1.7087188296875129,0.8543701157945234,0.0,0.0,1
0.19,CN,0.2506504559439523,4.8766939940527735e-05,0.0,0.0,0.0,0.8512511726677636,1.7025023453355272,0.8512618346874368,0.0,0.0,1
0.195,CN,0.2506494876469165,5.262988848871656e-05,0.0,0.0,0.0,0.84819074321379,1.6963814864275801,0.8482013669012293,0.0,0.0,1
0.2,CN,0.250648458816178,5.673433171323136e-05,0.0,0.0,0.0,0.8451491343427737,1.6902982686855474,0.8451597199337091,0.0,0.0,1
0.20500000000000002,CN,0.2506473641207484,6.110153719272419e-05,0.0,0.0,0.0,0.8421537876107917,1.6843075752215835,0.8421643356846619,0.0,0.0,1
0.21,CN,0.2506462027491893,6.573474210024362e-05,0.0,0.0,0.0,0.8391764656755196,1.6783529313510392,0.8391869764580872,0.0,0.0,1
0.215,CN,0.25064496940036884,7.065509490458805e-05,0.0,0.0,0.0,0.8362439263031677,1.6724878526063354,0.8362544003553394,0.0,0.0,1
0.22,CN,0.25064366289409923,7.586730387657327e-05,0.0,0.0,0.0,0.8333286589957813,1.6666573179915627,0.8333390965338919,0.0,0.0,1
0.225,CN,0.2506422779371732,8.13924858703775e-05,0.0,0.0,0.0,0.8304567614631938,1.6609135229263874,0.8304671630304545,0.0,0.0,1
0.23,CN,0.2506408130011347,8.723673854692272e-05,0.0,0.0,0.0,0.8276014235058389,1.6552028470116777,0.8276117893096606,0.0,0.0,1
0.23500000000000001,CN,0.25063926278230886,9.34212205204221e-05,0.0,0.0,0.0,0.8247881054102898,1.6495762108205796,0.8247984359769761,0.0,0.0,1
0.24,CN,0.2506376254225041,9.995334490673955e-05,0.0,0.0,0.0,0.8219906720463689,1.6439813440927378,0.8220009675748778,0.0,0.0,1
0.245,CN,0.2506358955922541,0.00010685437321326745,0.0,0.0,0.0,0.8192339678734774,1.6384679357469547,0.8192442288739468,0.0,0.0,1
0.25,CN,0.25063407112061437,0.00011413296626007188,0.0,0.0,0.0,0.8164925088362532,1.6329850176725065,0.8165027354996303,0.0,0.0,1
0.255,CN,0.2506321466396846,0.00012181053888402463,0.0,0.0,0.0,0.8137905441849913,1.6275810883699826,0.8138007370059477,0.0,0.0,1
0.26,CN,0.2506301196815156,0.0001298969367834278,0.0,0.0,0.0,0.8111032181026874,1.6222064362053747,0.8111133772645729,0.0,0.0,1
0.265,CN,0.25062798482948845,0.00013841376915430038,0.0,0.0,0.0,0.8084542043256313,1.6169084086512626,0.808464330308312,0.0,0.0,1
0.27,CN,0.2506257393334167,0.0001473720076594842,0.0,0.0,0.0,0.8058192535261854,1.6116385070523709,0.8058293465058017,0.0,0.0,1
0.275,CN,0.250623377719762,0.00015679348857051712,0.0,0.0,0.0,0.8032214827501598,1.6064429655003196,0.8032315431923959,0.0,0.0,1
0.28,CN,0.250620896970089,0.00016669025370946277,0.0,0.0,0.0,0.8006372284323298,1.6012744568646595,0.8006472565064807,0.0,0.0,1
0.28500000000000003,CN,0.25061829154758863,0.00017708439176144727,0.0,0.0,0.0,0.7980890689279599,1.5961781378559199,0.7980990650861175,0.0,0.0,1
0.29,CN,0.2506155581789462,0.00018798896137058317,0.0,0.0,0.0,0.7955539066686284,1.5911078133372567,0.7955638710735846,0.0,0.0,1
0.295,CN,0.25061269125937946,0.00019942632239614244,0.0,0.0,0.0,0.7930537985402623,1.5861075970805247,0.7930637316310744,0.0,0.0,1
0.3,CN,0.25060968727357114,0.00021141049893321393,0.0,0.0,0.0,0.7905661941106265,1.581132388221253,0.7905760960439044,0.0,0.0,1
0.305,CN,0.25060654054553433,0.00022396413490670427,0.0,0.0,0.0,0.7881126452807506,1.5762252905615013,0.7881225164830449,0.0,0.0,1
0.31,CN,0.2506032473304354,0.00023710217005022455,0.0,0.0,0.0,0.7856711307466027,1.5713422614932053,0.7856809713686442,0.0,0.0,1
0.315,CN,0.25059980187916575,0.00025084754000191076,0.0,0.0,0.0,0.7832627132112755,1.566525426422551,0.783272523667608,0.0,0.0,1
0.32,CN,0.25059620022954726,0.0002652160515751135,0.0,0.0,0.0,0.780865883294856,1.561731766589712,0.7808756637306158,0.0,0.0,1
0.325,CN,0.2505924365586098,0.00028023093507322774,0.0,0.0,0.0,0.7785012296287759,1.5570024592575518,0.7785109804469743,0.0,0.0,1
0.33,CN,0.2505885066987492,0.00029590881684107167,0.0,0.0,0.0,0.7761477383117247,1.5522954766234494,0.7761574596521713,0.0,0.0,1
0.335,CN,0.2505844047534449,0.0003122732206062509,0.0,0.0,0.0,0.7738255384035303,1.5476510768070606,0.7738352306581537,0.0,0.0,1
0.34,CN,0.25058012636137755,0.00032934154552569534,0.0,0.0,0.0,0.7715140957522609,1.5430281915045216,0.771523759055797,0.0,0.0,1
0.34500000000000003,CN,0.2505756655537254,0.0003471376037670969,0.0,0.0,0.0,0.7692330937523307,1.5384661875046615,0.7692427284860522,0.0,0.0,1
0.35000000000000003,CN,0.2505710177869898,0.00036567952127817524,0.0,0.0,0.0,0.7669624629488183,1.5339249258976366,0.7669720692426257,0.0,0.0,1
0.355,CN,0.2505661770221336,0.00038499139034588295,0.0,0.0,0.0,0.7647214544134191,1.5294429088268382,0.7647310326383346,0.0,0.0,1
0.36,CN,0.25056113854486395,0.0004050920182882222,0.0,0.0,0.0,0.7624904489758966,1.5249808979517931,0.7624999992572102,0.0,0.0,1
0.365,CN,0.2505558962487556,0.00042600576623190694,0.0,0.0,0.0,0.7602882781929227,1.5205765563858455,0.760297800891792,0.0,0.0,1
0.37,CN,0.25055044525997094,0.0004477520779875071,0.0,0.0,0.0,0.75809575937227,1.51619151874454,0.7581052546095867,0.0,0.0,1
0.375,CN,0.25054477940818065,0.00047035556962171307,0.0,0.0,0.0,0.7559313168550899,1.5118626337101797,0.7559407849825129,0.0,0.0,1
0.38,CN,0.25053889367112425,0.0004938362770668639,0.0,0.0,0.0,0.7537761911939604,1.5075523823879209,0.7537856323281846,0.0,0.0,1
0.385,CN,0.2505327818186298,0.0005182190551275682,0.0,0.0,0.0,0.7516484113310088,1.5032968226620176,0.7516578258145434,0.0,0.0,1
0.39,CN,0.2505264386910135,0.0005435244879763358,0.0,0.0,0.0,0.7495296283737978,1.4990592567475955,0.7495390163193301,0.0,0.0,1
0.395,CN,0.2505198580028255,0.0005697776509445717,0.0,0.0,0.0,0.7474374872226132,1.4948749744452263,0.7474468489638348,0.0,0.0,1
0.4,CN,0.250513034467834,0.0005969996330585373,0.0,0.0,0.0,0.7453540373653603,1.4907080747307206,0.745363373011131,0.0,0.0,1
0.405,CN,0.2505059617503131,0.000625215710222663,0.0,0.0,0.0,0.7432965505806924,1.4865931011613847,0.7433058604562023,0.0,0.0,1
0.41000000000000003,CN,0.2504986344482315,0.0006544474334361297,0.0,0.0,0.0,0.741247463050953,1.482494926101906,0.741256747261404,0.0,0.0,1
0.41500000000000004,CN,0.2504910461809625,0.0006847202577317699,0.0,0.0,0.0,0.7392236839374056,1.4784473678748111,0.7392329427997885,0.0,0.0,1
0.42,CN,0.25048319144129,0.0007160561537361152,0.0,0.0,0.0,0.7372080248948812,1.4744160497897627,0.7372172585109009,0.0,0.0,1
0.425,CN,0.25047506380937795,0.0007484807329043539,0.0,0.0,0.0,0.7352170425753517,1.4704340851507034,0.7352262512540868,0.0,0.0,1
0.43,CN,0.25046665768329807,0.0007820163437101808,0.0,0.0,0.0,0.7332339133248468,1.4664678266496933,0.7332430971646579,0.0,0.0,1
0.435,CN,0.2504579666099591,0.0008166887302780429,0.0,0.0,0.0,0.7312748510166984,1.4625497020333968,0.731284010319027,0.0,0.0,1
0.44,CN,0.25044898490304224,0.0008525205777514179,0.0,0.0,0.0,0.7293233863256441,1.4586467726512882,0.7293325211856511,0.0,0.0,1
0.445,CN,0.25043970608236754,0.0008895377383229529,0.0,0.0,0.0,0.7273953997172192,1.4547907994344385,0.7274045104289703,0.0,0.0,1
0.45,CN,0.25043012438738543,0.0009277631932740777,0.0,0.0,0.0,0.7254747662306019,1.4509495324612038,0.7254838528861958,0.0,0.0,1
0.455,CN,0.25042023331716107,0.000967222877597772,0.0,0.0,0.0,0.7235770419512092,1.4471540839024184,0.7235861048375863,0.0,0.0,1
0.46,CN,0.2504100270469011,0.001007940028871205,0.0,0.0,0.0,0.7216864366973119,1.4433728733946238,0.721695475903639,0.0,0.0,1
0.465,CN,0.2503994990613735,0.001049940639124643,0.0,0.0,0.0,0.7198181908744472,1.4396363817488944,0.7198272066807786,0.0,0.0,1
0.47000000000000003,CN,0.2503886434813448,0.0010932481631200355,0.0,0.0,0.0,0.7179568398553114,1.4359136797106227,0.7179658323480054,0.0,0.0,1
0.47500000000000003,CN,0.25037745378382936,0.0011378886238206222,0.0,0.0,0.0,0.7161173167532449,1.4322346335064897,0.7161262862056986,0.0,0.0,1
0.48,CN,0.25036592404476177,0.0011838856548417045,0.0,0.0,0.0,0.7142844736142392,1.4285689472284784,0.7142934201101201,0.0,0.0,1
0.485,CN,0.2503540477399952,0.0012312652837787503,0.0,0.0,0.0,0.7124729443486217,1.4249458886972435,0.7124818681548885,0.0,0.0,1
0.49,CN,0.2503418189100355,0.0012800512855877127,0.0,0.0,0.0,0.7106678891219292,1.4213357782438585,0.7106767903196699,0.0,0.0,1
0.495,CN,0.25032923103618315,0.0013302696661322054,0.0,0.0,0.0,0.708883650445456,1.417767300890912,0.7088925292954003,0.0,0.0,1
0.5,CN,0.2503162781327016,0.0013819443050604825,0.0,0.0,0.0,0.7071056883626585,1.414211376725317,0.7071145449434215,0.0,0.0,1
0.505,CN,0.250302953692934,0.0014351011601927064,0.0,0.0,0.0,0.7053480615171804,1.4106961230343606,0.7053568960834632,0.0,0.0,1
0.51,CN,0.2502892517138617,0.0014897641801226344,0.0,0.0,0.0,0.7035965218865136,1.4071930437730271,0.7036053345145594,0.0,0.0,1
0.515,CN,0.2502751657074236,0.001545959248484354,0.0,0.0,0.0,0.7018648515173485,1.403729703034697,0.701873642456022,0.0,0.0,1
0.52,CN,0.2502606896620443,0.0016037103480079796,0.0,0.0,0.0,0.7001390866614854,1.4002781733229708,0.700147855984754,0.0,0.0,1
0.525,CN,0.2502458171147446,0.0016630432622653118,0.0,0.0,0.0,0.698432739789987,1.396865479579974,0.6984414877410632,0.0,0.0,1
0.53,CN,0.25023054205387407,0.0017239819742856544,0.0,0.0,0.0,0.6967321240405462,1.3934642480810924,0.6967408506912128,0.0,0.0,1
0.535,CN,0.2502148580479324,0.0017865521420581917,0.0,0.0,0.0,0.6950504890912652,1.3901009781825304,0.695059194679259,0.0,0.0,1
0.54,CN,0.25019875909342393,0.001850777716079666,0.0,0.0,0.0,0.6933744178364906,1.3867488356729811,0.6933831024314975,0.0,0.0,1
0.545,CN,0.25018223879661405,0.001916684203675467,0.0,0.0,0.0,0.6917169037155297,1.3834338074310595,0.69172556754998,0.0,0.0,1
0.55,CN,0.2501652911701338,0.00198429549100603,0.0,0.0,0.0,0.6900647924978578,1.3801295849957156,0.6900734356394235,0.0,0.0,1
0.555,CN,0.2501479098641727,0.0020536369101651114,0.0,0.0,0.0,0.688430827719279,1.376861655438558,0.6884394503952463,0.0,0.0,1
0.56,CN,0.25013008891519595,0.002124732252228118,0.0,0.0,0.0,0.6868021113797195,1.373604222759439,0.6868107136558258,0.0,0.0,1
